REGION,SCENARIO,year,urb_land_2015,ULC_2015,urban_pop_2015,urban_share,urban_pop,urban_pop_incrs,GDPC_2015,GDPC,GDPC_incrs,ULC_incrs,ULC,urban_land
ITA,SSP3,2040,9539,230.44503891861342,41.393817999999996,71.22553412912606,39.790856896577566,-1.6029611034224303,27449.60668633235,34922.65420828411,7473.047521951761,28.035885083354227,258.48092400196765,10285.177457457436
ITA,SSP3,2050,9539,230.44503891861342,41.393817999999996,71.59767531954621,37.38329421459466,-4.010523785405333,27449.60668633235,38027.08137820083,10577.474691868483,39.6824540540138,270.12749297262724,10098.255545246577
ITA,SSP3,2060,9539,230.44503891861342,41.393817999999996,71.84153119150379,34.180763710293675,-7.213054289706321,27449.60668633235,42096.767413510446,14647.160727178096,54.950288184081344,285.39532710269475,9755.03023971918
ITA,SSP3,2070,9539,230.44503891861342,41.393817999999996,72.00210900064454,30.838503284976056,-10.55531471502394,27449.60668633235,46625.869717487745,19176.263031155395,71.94166838768258,302.386707306296,9325.153466598302
ITA,SSP3,2080,9539,230.44503891861342,41.393817999999996,72.10819447515111,27.87053824659066,-13.523279753409337,27449.60668633235,50876.01873172751,23426.412045395162,87.88652742950448,318.3315663481179,8872.072095002331
ITA,SSP3,2090,9539,230.44503891861342,41.393817999999996,72.17843225402973,25.152740071884278,-16.24107792811572,27449.60668633235,55625.975665748396,28176.368979416045,105.70646586317723,336.15150478179066,8455.131424549145
ITA,SSP3,2100,9539,230.44503891861342,41.393817999999996,72.22500311130986,22.47064296799072,-18.923175032009276,27449.60668633235,61041.68809462587,33592.08140829352,126.02405261135395,356.4690915299674,8010.089684893902
ITA,SSP4,2020,9539,230.44503891861342,41.393817999999996,71.62203834326412,43.98452618736536,2.5907081873653652,27449.60668633235,29073.56868364489,1623.961997312541,6.092455829117728,236.53749474773116,10403.989632025377
ITA,SSP4,2030,9539,230.44503891861342,41.393817999999996,74.63854765468666,45.52130382911684,4.127485829116843,27449.60668633235,33470.75702175802,6021.150335425671,22.588947598382948,253.03398651699638,11518.436979332846
ITA,SSP4,2040,9539,230.44503891861342,41.393817999999996,77.40658990628911,46.609604046172926,5.21578604617293,27449.60668633235,39283.02388148935,11833.417195157002,44.39424794935101,274.83928686796446,12810.150337248358
ITA,SSP4,2050,9539,230.44503891861342,41.393817999999996,79.92942569726513,46.89859052787031,5.5047725278703155,27449.60668633235,46179.30975713677,18729.70307080442,70.26635404042986,300.7113929590433,14102.940485451674
ITA,SSP4,2060,9539,230.44503891861342,41.393817999999996,82.21510566219379,46.168714735661545,4.7748967356615495,27449.60668633235,54661.852696060974,27212.246009728624,102.0894621300979,332.5345010487113,15352.690518683497
ITA,SSP4,2070,9539,230.44503891861342,41.393817999999996,84.27515908683402,44.596728685570824,3.202910685570828,27449.60668633235,64282.909407007064,36833.302720674714,138.18381848688324,368.62885740549666,16439.64113938491
ITA,SSP4,2080,9539,230.44503891861342,41.393817999999996,86.12344606128434,42.687947274736196,1.2941292747361999,27449.60668633235,74177.23842956865,46727.6317432363,175.3033832479253,405.7484221665387,17320.567252252607
ITA,SSP4,2090,9539,230.44503891861342,41.393817999999996,87.77520157858929,40.50913328053475,-0.8846847194652483,27449.60668633235,85216.8750406275,57767.268354295156,216.7196839579737,447.1647228765871,18114.255357361053
ITA,SSP4,2100,9539,230.44503891861342,41.393817999999996,89.24627342862189,37.70119574718703,-3.692622252812967,27449.60668633235,98018.55884859388,70568.95216226153,264.74648093194037,495.1915198505538,18669.31242223278
ITA,SSP5,2020,9539,230.44503891861342,41.393817999999996,74.40159212752727,46.79264932084445,5.398831320844451,27449.60668633235,29030.44902372321,1580.842337390859,5.930688112955546,236.37572703156897,11060.646502947859
ITA,SSP5,2030,9539,230.44503891861342,41.393817999999996,79.18577489528296,51.76611662229333,10.372298622293336,27449.60668633235,34408.91499548743,6959.30830915508,26.108541052626197,256.55357997123963,13280.782540658049
ITA,SSP5,2040,9539,230.44503891861342,41.393817999999996,82.97295173128207,56.58506389218243,15.191245892182437,27449.60668633235,42819.55217971465,15369.9454933823,57.66188751297303,288.10692643158643,16302.548839911622
ITA,SSP5,2050,9539,230.44503891861342,41.393817999999996,85.98565945007441,61.06013648868684,19.66631848868684,27449.60668633235,53081.21162620402,25631.60493987167,96.15952909242256,326.604568011036,19942.51950058246
ITA,SSP5,2060,9539,230.44503891861342,41.393817999999996,88.39943305561455,65.03988287066841,23.64606487066841,27449.60668633235,65913.93815834183,38464.33147200948,144.30278595039076,374.74782486900415,24373.554635517787
